BIRTHDATE;YEAR;AGE
04/08/2001;2001;22
24/12/2001;2001;22
19/05/1996;1996;27
21/08/2001;2001;22
05/06/1991;1991;32
19/08/2001;2001;22
18/08/2001;2001;22
09/02/2001;2001;22
12/08/2006;2006;17
14/10/2007;2007;16
17/04/1995;1995;28
29/07/2000;2000;23
14/06/1995;1995;28
10/09/2001;2001;22
10/02/2001;2001;22
12/10/2001;2001;22
22/01/2001;2001;22
09/03/2000;2000;23
29/01/1969;1969;54
03/03/2001;2001;22
03/03/1965;1965;58
02/06/2000;2000;23
22/08/2002;2002;21
18/06/2001;2001;22
04/11/2000;2000;23
07/11/2001;2001;22
09/08/2001;2001;22
21/06/2004;2004;19
09/07/1983;1983;40
29/07/2001;2001;22
28/12/2001;2001;22
26/09/2023;2023;0
20/02/2002;2002;21
26/02/1997;1997;26
14/06/2004;2004;19
08/04/1968;1968;55
30/01/1969;1969;54
02/11/2006;2006;17
12/08/2006;2006;17
15/01/1961;1961;62
19/01/1979;1979;44
17/08/2006;2006;17
11/01/2002;2002;21
27/11/2005;2005;18
03/09/1966;1966;57
24/10/2006;2006;17
26/09/1996;1996;27
07/08/2004;2004;19
29/07/1966;1966;57
02/03/2006;2006;17
13/01/1990;1990;33
27/05/1991;1991;32
15/10/2001;2001;22
09/08/1964;1964;59
10/04/1958;1958;65
19/09/1974;1974;49
13/07/1964;1964;59
14/11/1985;1985;38
01/03/1966;1966;57
22/06/1979;1979;44
21/10/1983;1983;40
26/03/2001;2001;22
20/04/1961;1961;62
23/09/1957;1957;66
02/03/1986;1986;37
17/07/2001;2001;22
02/05/2001;2001;22
02/08/1962;1962;61
03/12/1964;1964;59
03/01/2001;2001;22
06/09/1985;1985;38
03/07/1992;1992;31
15/12/1991;1991;32
18/04/1976;1976;47
29/08/1971;1971;52
08/01/1962;1962;61
22/05/1997;1997;26
18/07/1973;1973;50
30/07/2022;2022;1
03/03/1968;1968;55
07/03/1960;1960;63
30/09/1995;1995;28
01/01/2001;2001;22
08/01/1989;1989;34
02/04/2001;2001;22
01/05/2001;2001;22
06/10/2001;2001;22
24/12/1966;1966;57
26/07/2002;2002;21
05/05/1994;1994;29
25/04/1968;1968;55
01/01/1967;1967;56
08/04/1962;1962;61
06/01/1971;1971;52
12/09/1984;1984;39
16/10/1962;1962;61
25/06/1977;1977;46
25/01/1965;1965;58
13/12/1977;1977;46
14/06/1989;1989;34
11/12/1984;1984;39
31/12/1975;1975;48
28/04/1980;1980;43
14/05/1976;1976;47
01/06/1977;1977;46
23/07/1960;1960;63
19/04/1976;1976;47
01/08/1976;1976;47
19/06/1970;1970;53
05/05/1969;1969;54
21/09/1973;1973;50
07/12/1972;1972;51
24/04/1987;1987;36
03/02/1980;1980;43
20/12/1983;1983;40
26/11/1962;1962;61
31/12/1977;1977;46
25/09/1972;1972;51
07/01/1970;1970;53
16/08/1967;1967;56
15/10/1978;1978;45
04/04/2023;2023;0
09/07/1965;1965;58
25/05/1978;1978;45
07/12/1974;1974;49
27/01/1984;1984;39
24/05/1975;1975;48
27/11/1971;1971;52
23/08/1976;1976;47
28/09/2023;2023;0
02/09/1978;1978;45
18/06/1964;1964;59
01/12/1970;1970;53
10/07/2002;2002;21
04/06/1980;1980;43
31/08/1979;1979;44
16/09/2000;2000;23
30/05/2001;2001;22
27/02/1963;1963;60
08/10/1968;1968;55
12/03/1972;1972;51
24/05/1993;1993;30
20/10/2023;2023;0
23/06/1992;1992;31
09/01/1989;1989;34
03/06/1988;1988;35
09/04/1974;1974;49
03/12/1991;1991;32
08/07/1972;1972;51
04/07/1973;1973;50
24/04/1998;1998;25
30/09/1988;1988;35
10/12/1984;1984;39
19/12/1981;1981;42
01/09/1981;1981;42
09/09/1983;1983;40
15/08/1989;1989;34
11/11/1988;1988;35
08/02/1978;1978;45
16/09/1993;1993;30
14/12/1991;1991;32
24/02/1976;1976;47
19/09/1982;1982;41
23/05/1975;1975;48
30/10/1964;1964;59
23/05/1969;1969;54
01/10/2023;2023;0
22/01/2023;2023;0
26/10/1972;1972;51
20/09/1959;1959;64
02/02/1992;1992;31
23/04/1963;1963;60
