BIRTHDATE;YEAR;AGE;SEX;SPORT_Y_N;SPORT_B;N_SPORTS;SPORT_TYPE;MINUTES;WEEK_DAYS;WEEK_BLOCK;DAY_MOMENT;DAY_M
04/08/2001;2001;22;Masculino (male);Sí, semanalmente (Yes, weekly);Si;1;Gimnasio (Gym);180;Martes (Tuesday), Viernes (Friday), Sábado (Saturday);Week;Tardes (Afternoons);Afternoon_evening
24/12/2001;2001;22;Femenino (female);Sí, esporádicamente (Yes, sporadically);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Natación (Swimming);180;Lunes (Monday), Miércoles (Wednesday);Workweek;Tardes (Afternoons);Afternoon_evening
19/05/1996;1996;27;Masculino (male);Sí, semanalmente (Yes, weekly);Si;2;Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);300;Martes (Tuesday), Miércoles (Wednesday), Viernes (Friday);Workweek;Tardes (Afternoons);Afternoon_evening
21/08/2001;2001;22;Femenino (female);No;No;1;Gimnasio (Gym);0;Ninguno (None);None;Mañanas (Mornings), Tardes (Afternoons);Any
05/06/1991;1991;32;Masculino (male);No;No;0;Patinaje;0;Ninguno (None);None;Tardes (Afternoons);Afternoon_evening
19/08/2001;2001;22;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Gimnasio (Gym), Rugby;600;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday);Week;Noches (Evenings);Afternoon_evening
18/08/2001;2001;22;Masculino (male);Sí, semanalmente (Yes, weekly);Si;1;Balonmano;270;Lunes (Monday), Miércoles (Wednesday), Jueves (Thursday);Workweek;Tardes (Afternoons), Noches (Evenings);Afternoon_evening
09/02/2001;2001;22;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Gimnasio (Gym);180;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday);Workweek;Mañanas (Mornings);Mornings
12/08/2006;2006;17;Femenino (female);No;No;0;Ninguno (None);0;Ninguno (None);None;Ninguno (None);None
14/10/2007;2007;16;Masculino (male);Sí, diariamente (Yes, daily);Si;2;Fútbol (Football);360;Lunes (Monday), Miércoles (Wednesday), Viernes (Friday), Sábado (Saturday);Week;Tardes (Afternoons);Afternoon_evening
17/04/1995;1995;28;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Ciclismo (Cycling), Gimnasio (Gym);150;Lunes (Monday), Martes (Tuesday), Jueves (Thursday);Workweek;Tardes (Afternoons);Afternoon_evening
29/07/2000;2000;23;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Ciclismo (Cycling);7;Lunes (Monday), Martes (Tuesday), Jueves (Thursday), Viernes (Friday);Workweek;Mañanas (Mornings), Tardes (Afternoons);Any
