DATA;YEAR;FREQUENCY
23/09/1957;1957;1
10/04/1958;1958;1
20/09/1959;1959;1
07/03/1960;1960;2
15/01/1961;1961;2
08/01/1962;1962;5
27/02/1963;1963;2
18/06/1964;1964;5
25/01/1965;1965;3
01/03/1966;1966;4
01/01/1967;1967;2
03/03/1968;1968;4
29/01/1969;1969;4
07/01/1970;1970;3
06/01/1971;1971;3
12/03/1972;1972;5
04/07/1973;1973;3
09/04/1974;1974;3
23/05/1975;1975;3
24/02/1976;1976;6
01/06/1977;1977;4
08/02/1978;1978;4
19/01/1979;1979;3
03/02/1980;1980;3
09/07/1983;1983;4
12/09/1984;1984;4
02/03/1986;1986;1
24/04/1987;1987;1
03/06/1988;1988;3
08/01/1989;1989;4
13/01/1990;1990;1
27/05/1991;1991;5
02/02/1992;1992;3
24/05/1993;1993;2
05/05/1994;1994;1
17/04/1995;1995;3
19/05/1996;1996;2
26/02/1997;1997;2
24/04/1998;1998;1
09/03/2000;2000;5
01/01/2001;2001;26
11/01/2002;2002;5
14/06/2004;2004;3
27/11/2005;2005;1
02/03/2006;2006;6
14/10/2007;2007;1
22/01/2023;2023;6
