Gimnasio (Gym);27;;Gym;73;;;Gym;73
Atletismo (correr;65;;Athletics;98;;;Others;16
 NataciÃ?n (Swimming);17;;Swimming;20;;;Athletics;98
Ciclismo (Cycling);18;;Cycling;21;;;Swimming;20
 Atletismo (correr;32;;Skating;2;Otros;;Cycling;21
 Gimnasio (Gym);46;;Rugby;1;Otros;;None;15
Gimnasio (Gym);27;;Handball;1;Otros;;Soccer;7
Patinaje;2;;None;15;;;Walking;5
Gimnasio (Gym);27;;Soccer;7;;;Basketball;5
 Rugby;1;; Dancing;2;Otros;; Yoga;5
Balonmano;1;;Walking;5;;;Tennis/Padel;17
Gimnasio (Gym);27;;Basketball;5;;;Pilates;4
Ninguno (None);15;; Yoga;5;;;Martial arts;5
FÃºtbol (Football);7;;Tennis/Padel;17;;;;
Ciclismo (Cycling);18;;Volleyball;1;Otros;;;
 Gimnasio (Gym);46;;Pilates;4;;;;
Ciclismo (Cycling);18;; Motos;1;Otros;;;
Gimnasio (Gym);27;;Ejercicios aeróbicos y anaerobicos;1;Otros;;;
Ninguno (None);15;;Aerobic;1;Otros;;;
Gimnasio (Gym);27;; Core;1;Otros;;;
 Danza;1;; Alpinismo ;3;Otros;;;
Ninguno (None);15;; Artes marciales;5;;;;
Baloncesto (Basketball);4;;CrossFit;2;Otros;;;
 Atletismo (correr;32;;;;;;;
 Gimnasio (Gym);46;;;;;;;
Atletismo (correr;65;;;;;;;
Gimnasio (Gym);27;;;;;;;
 Yoga;4;;;;;;;
Gimnasio (Gym);27;;;;;;;
Caminar ;1;;;;;;;
Atletismo (correr;65;;;;;;;
 Gimnasio (Gym);46;;;;;;;
Baloncesto (Basketball);4;;;;;;;
 Atletismo (correr;32;;;;;;;
FÃºtbol (Football);7;;;;;;;
 Tenis/PÃ¡del (Tennis/padel);3;;;;;;;
 Ciclismo (Cycling);3;;;;;;;
 Gimnasio (Gym);46;;;;;;;
Atletismo (correr;65;;;;;;;
 Pilates;2;;;;;;;
Fitboxing;1;;;;;;;
Tenis/PÃ¡del (Tennis/padel);14;;;;;;;
 Gimnasio (Gym);46;;;;;;;
Gimnasio (Gym);27;;;;;;;
Mezcla de yoga y pilates y caminar ;1;;;;;;;
Tenis/PÃ¡del (Tennis/padel);14;;;;;;;
 Atletismo (correr;32;;;;;;;
 Gimnasio (Gym);46;;;;;;;
Ciclismo (Cycling);18;;;;;;;
 Atletismo (correr;32;;;;;;;
 Gimnasio (Gym);46;;;;;;;
Atletismo (correr;65;;;;;;;
Gimnasio (Gym);27;;;;;;;
Yoga;4;;;;;;;
FÃºtbol (Football);7;;;;;;;
 Gimnasio (Gym);46;;;;;;;
Ninguno (None);15;;;;;;;
Andar;1;;;;;;;
FÃºtbol (Football);7;;;;;;;
 Atletismo (correr;32;;;;;;;
 Voleibol ;1;;;;;;;
Ninguno (None);15;;;;;;;
Atletismo (correr;65;;;;;;;
Ninguno (None);15;;;;;;;
Atletismo (correr;65;;;;;;;
Baloncesto (Basketball);4;;;;;;;
 Gimnasio (Gym);46;;;;;;;
Atletismo (correr;65;;;;;;;
 Gimnasio (Gym);46;;;;;;;
Pilates;1;;;;;;;
 yoga;4;;;;;;;
Gimnasio (Gym);27;;;;;;;
Gimnasio (Gym);27;;;;;;;
NataciÃ?n (Swimming);3;;;;;;;
Atletismo (correr;65;;;;;;;
Atletismo (correr;65;;;;;;;
Ninguno (None);15;;;;;;;
Gimnasio (Gym);27;;;;;;;
Gimnasio (Gym);27;;;;;;;
Gimnasio (Gym);27;;;;;;;
Atletismo (correr;65;;;;;;;
 Motos;1;;;;;;;
Atletismo (correr;65;;;;;;;
Ninguno (None);15;;;;;;;
Ninguno (None);15;;;;;;;
Gimnasio (Gym);27;;;;;;;
 Yoga;4;;;;;;;
FÃºtbol (Football);7;;;;;;;
 Tenis/PÃ¡del (Tennis/padel);3;;;;;;;
 Gimnasio (Gym);46;;;;;;;
Ninguno (None);15;;;;;;;
Gimnasio (Gym);27;;;;;;;
Atletismo (correr;65;;;;;;;
 NataciÃ?n (Swimming);17;;;;;;;
Gimnasio (Gym);27;;;;;;;
Ejercicios aerÃ?bicos y anaerobicos;1;;;;;;;
Gimnasio (Gym);27;;;;;;;
Gimnasio (Gym);27;;;;;;;
Atletismo (correr;65;;;;;;;
Ninguno (None);15;;;;;;;
Ninguno (None);15;;;;;;;
Patinaje;2;;;;;;;
Atletismo (correr;65;;;;;;;
 Gimnasio (Gym);46;;;;;;;
Tenis/PÃ¡del (Tennis/padel);14;;;;;;;
Atletismo (correr;65;;;;;;;
Aerobic;1;;;;;;;
Atletismo (correr;65;;;;;;;
Gimnasio (Gym);27;;;;;;;
Atletismo (correr;65;;;;;;;
Atletismo (correr;65;;;;;;;
Yoga;4;;;;;;;
Tenis/PÃ¡del (Tennis/padel);14;;;;;;;
 Atletismo (correr;32;;;;;;;
 Gimnasio (Gym);46;;;;;;;
 Baile ;1;;;;;;;
Gimnasio (Gym);27;;;;;;;
Ninguno (None);15;;;;;;;
Baloncesto (Basketball);4;;;;;;;
 Tenis/PÃ¡del (Tennis/padel);3;;;;;;;
 NataciÃ?n (Swimming);17;;;;;;;
 Gimnasio (Gym);46;;;;;;;
Escalada;1;;;;;;;
 Atletismo (correr;32;;;;;;;
Gimnasio (Gym);27;;;;;;;
Atletismo (correr;65;;;;;;;
 Gimnasio (Gym);46;;;;;;;
Gimnasio (Gym);27;;;;;;;
Tenis/PÃ¡del (Tennis/padel);14;;;;;;;
 Gimnasio (Gym);46;;;;;;;
Ciclismo (Cycling);18;;;;;;;
 pilates;2;;;;;;;
Yoga;4;;;;;;;
Atletismo (correr;65;;;;;;;
